crop_type,district,rainfall,temperature,humidity,soil_type,soil_ph,water_availability,area,fertilizer,pesticide,production,yield
Arhar/Tur,Adilabad,920,28,70,Black,6.7,Medium,261516.0,37786446.84,70609.32,138315,0.577777778
Arhar/Tur,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,1398.0,201997.02,377.46,922,0.61
Bajra,Hanumakonda,860,30,60,Black,6.7,Medium,4281.0,618561.69,1155.87,4033,0.964
Bajra,Hyderabad,700,32,55,Sandy,6.3,Low,8937.0,1291307.13,2412.99,8419,0.97
Banana,Jagtial,850,30,60,Black,6.7,Medium,1522.0,219913.78,410.94,47401,31.14714286
Cashewnut,Jangaon,800,30,60,Loamy,6.4,Medium,4235.0,611915.15,1143.45,2710,0.635
Castor Seed,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,78475.0,11338852.75,21188.25,55516,0.60625
Castor Seed,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,1358.0,196217.42,366.66,964,0.713333333
Coconut,Kamareddy,840,30,60,Loamy,6.4,Medium,428.0,61841.72,115.56,6956712,16254.0
Coriander,Karimnagar,830,30,60,Black,6.7,Medium,1378.0,199107.22,372.06,978,0.701428571
Cotton(Lint),Khammam,1000,30,60,Clay,6.5,High,1712830.0,247486806.7,462464.1,4265305,2.458888889
Cowpea(Lobia),Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,2162.0,312387.38,583.74,1209,0.515
Cowpea(Lobia),Mahabubabad,900,30,60,Clay,6.5,Medium,8572.0,1238568.28,2314.44,6669,0.75
Dry Chillies,Mahabubnagar,730,32,55,Loamy,6.4,Low,54378.0,7857077.22,14682.06,171985,2.717777778
Dry Chillies,Mancherial,890,30,60,Black,6.7,Medium,24557.0,3548240.93,6630.39,107792,4.40625
Ginger,Medak,780,30,60,Black,6.7,Low,1767.0,255313.83,477.09,12703,6.776666667
Ginger,Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,4.0,577.96,1.08,26,6.5
Gram,Mulugu,1150,28,70,Clay,6.5,High,54.0,7802.46,14.58,73,1.35
Gram,Nagarkurnool,760,30,60,Loamy,6.4,Low,113374.0,16381409.26,30610.98,194546,1.525555556
Groundnut,Nalgonda,770,32,55,Clay,6.5,Low,21394.0,3091219.06,5776.38,32071,1.25875
Groundnut,Narayanpet,700,32,55,Sandy,6.3,Low,188660.0,27259483.4,50938.2,323072,1.644444444
Horse-Gram,Nirmal,910,28,70,Black,6.7,Medium,507.0,73256.43,136.89,315,0.61
Horse-Gram,Nizamabad,880,30,60,Loamy,6.4,Medium,2437.0,352122.13,657.99,1165,0.481428571
Jowar,Peddapalli,820,30,60,Black,6.7,Medium,70833.0,10234660.17,19124.91,76868,0.951428571
Jowar,Rajanna Sircilla,810,30,60,Black,6.7,Medium,36331.0,5249466.19,9809.37,32017,0.906666667
Linseed,Rangareddy,720,30,60,Sandy,6.3,Low,229.0,33088.21,61.83,112,0.49
Maize,Sangareddy,760,30,60,Black,6.7,Low,552897.0,79888087.53,149282.19,2436849,4.022222222
Maize,Siddipet,790,30,60,Loamy,6.4,Low,197322.0,28511055.78,53276.94,1074644,5.292222222
Masoor,Suryapet,750,30,60,Clay,6.5,Low,382.0,55195.18,103.14,196,0.51
Mesta,Vikarabad,800,30,60,Loamy,6.4,Medium,25.0,3612.25,6.75,229,9.155
Mesta,Wanaparthy,730,30,60,Loamy,6.4,Low,85.0,12281.65,22.95,780,9.18
